,DateTime,Open,Close,High,Low,Volume,Money,Pre_Close,Change,Pct_Change,Aroon_up,Aroon_down,AROON,Signal
0,2005-09-01,928.52,944.56,944.95,926.06,2230638400.0,10558677965.0,950.0,-5.440000000000055,-0.57,,,,
1,2005-09-02,945.98,947.87,947.92,941.31,1861443800.0,8864773608.0,944.56,3.310000000000059,0.35,,,,
2,2005-09-05,949.08,952.72,952.99,944.63,1784331800.0,8242226133.0,947.87,4.850000000000023,0.51,,,,
3,2005-09-06,953.41,936.61,956.3,934.97,2122225500.0,10583985179.0,952.72,-16.110000000000014,-1.69,,,,
4,2005-09-07,934.99,952.76,952.9,932.65,1960846600.0,9956808193.0,936.61,16.149999999999977,1.72,,,,
5,2005-09-08,954.27,955.28,958.87,947.71,2242439300.0,11753260243.0,952.76,2.519999999999982,0.26,,,,
6,2005-09-09,955.11,949.07,959.9,946.02,1621931000.0,7924193974.0,955.28,-6.209999999999923,-0.65,,,,
7,2005-09-12,949.78,949.51,952.55,945.4,1167261300.0,5610130326.0,949.07,0.4399999999999409,0.05,,,,
8,2005-09-13,949.58,963.77,963.92,948.13,1657943100.0,7999031246.0,949.51,14.259999999999991,1.5,,,,
9,2005-09-14,964.97,970.19,970.26,961.64,1995829100.0,9942627972.0,963.77,6.420000000000073,0.67,,,,
10,2005-09-15,970.58,969.6,970.96,965.66,1637767900.0,8098160518.0,970.19,-0.5900000000000318,-0.06,,,,
11,2005-09-16,969.62,967.5,970.37,964.28,1397857100.0,6989327513.0,969.6,-2.1000000000000227,-0.22,,,,
12,2005-09-19,967.44,971.14,971.99,964.26,1473742100.0,7427481654.0,967.5,3.6399999999999864,0.38,,,,
13,2005-09-20,971.38,961.92,971.65,957.12,1863660400.0,9189438331.0,971.14,-9.220000000000027,-0.95,,,,
14,2005-09-21,961.37,944.41,961.37,943.82,1854189500.0,8760459022.0,961.92,-17.50999999999999,-1.82,,,,
15,2005-09-22,942.73,923.27,942.73,914.23,1811552500.0,8625589892.0,944.41,-21.139999999999986,-2.24,,,,
16,2005-09-23,921.51,916.15,927.42,914.81,1154764400.0,5549882042.0,923.27,-7.1200000000000045,-0.77,,,,
17,2005-09-26,915.84,918.49,919.65,913.61,883624100.0,4398425669.0,916.15,2.340000000000032,0.26,,,,
18,2005-09-27,918.87,904.21,921.13,903.39,1108605600.0,5576097392.0,918.49,-14.279999999999973,-1.55,,,,
19,2005-09-28,903.33,903.72,910.33,901.38,885031000.0,4331475905.0,904.21,-0.4900000000000091,-0.05,,,,
20,2005-09-29,904.28,915.98,915.98,904.28,1193897800.0,5798238295.0,903.72,12.259999999999991,1.36,60.0,95.0,-35.0,
21,2005-09-30,916.59,917.39,918.66,913.45,900143300.0,4529466676.0,915.98,1.4099999999999682,0.15,55.00000000000001,90.0,-34.99999999999999,
22,2005-10-10,917.21,907.32,917.21,906.88,715845100.0,3665624376.0,917.39,-10.069999999999936,-1.1,50.0,85.0,-35.0,
23,2005-10-11,906.63,919.72,919.8,904.04,775829500.0,4032539378.0,907.32,12.399999999999977,1.37,44.99999999999999,80.0,-35.00000000000001,-1.0
24,2005-10-12,920.45,923.49,926.09,917.38,1220885200.0,6653231000.0,919.72,3.769999999999982,0.41,40.0,75.0,-35.0,
25,2005-10-13,923.43,916.5,926.01,916.27,1082890400.0,6021814326.0,923.49,-6.990000000000009,-0.76,35.0,70.0,-35.0,
26,2005-10-14,916.34,904.83,917.89,902.81,1012394000.0,5568049025.0,916.5,-11.669999999999959,-1.27,30.000000000000004,65.0,-35.0,
27,2005-10-17,903.27,897.62,903.27,892.36,1055250600.0,5516482064.0,904.83,-7.210000000000036,-0.8,25.0,100.0,-75.0,-1.0
28,2005-10-18,897.37,902.37,903.0,895.62,1136631700.0,5849997730.0,897.62,4.75,0.53,19.999999999999996,95.0,-75.0,
29,2005-10-19,902.04,898.74,907.88,897.04,1103304800.0,5474099406.0,902.37,-3.6299999999999955,-0.4,15.000000000000002,90.0,-75.0,
30,2005-10-20,898.89,899.91,900.13,889.57,1260872500.0,6082545635.0,898.74,1.169999999999959,0.13,9.999999999999998,100.0,-90.0,
31,2005-10-21,899.64,904.41,907.79,897.99,1136458800.0,5645096184.0,899.91,4.5,0.5,5.000000000000004,95.0,-90.0,
32,2005-10-24,905.13,906.65,908.45,900.23,921898200.0,4674775354.0,904.41,2.240000000000009,0.25,0.0,90.0,-90.0,
33,2005-10-25,905.97,894.27,905.97,893.61,1121340100.0,5687104900.0,906.65,-12.379999999999995,-1.37,0.0,85.0,-85.0,
34,2005-10-26,892.62,875.82,892.62,873.89,1216712300.0,5911800808.0,894.27,-18.449999999999932,-2.06,0.0,100.0,-100.0,
35,2005-10-27,873.47,875.85,879.67,869.72,1190858800.0,5881848405.0,875.82,0.029999999999972715,0.0,0.0,100.0,-100.0,
36,2005-10-28,875.86,867.73,880.21,859.69,1197337600.0,5565266453.0,875.85,-8.120000000000005,-0.93,0.0,100.0,-100.0,
37,2005-10-31,866.62,876.28,878.41,866.15,1044365100.0,4954801462.0,867.73,8.549999999999955,0.99,35.0,95.0,-60.0,
38,2005-11-01,875.96,872.87,875.96,862.69,1008274500.0,4762514458.0,876.28,-3.409999999999968,-0.39,30.000000000000004,90.0,-60.0,
39,2005-11-02,873.39,882.48,884.94,873.39,1310497300.0,6115386842.0,872.87,9.610000000000014,1.1,25.0,85.0,-60.0,
40,2005-11-03,882.19,874.58,885.68,872.11,1217918200.0,5843191842.0,882.48,-7.899999999999977,-0.9,19.999999999999996,80.0,-60.0,
41,2005-11-04,873.35,878.36,878.36,869.68,956731000.0,4570236086.0,874.58,3.7799999999999727,0.43,15.000000000000002,75.0,-60.0,
42,2005-11-07,877.62,877.28,877.62,870.08,771325900.0,3758294613.0,878.36,-1.080000000000041,-0.12,9.999999999999998,70.0,-60.0,
43,2005-11-08,876.43,881.52,881.89,870.96,1012876100.0,4617261094.0,877.28,4.240000000000009,0.48,5.000000000000004,65.0,-59.99999999999999,
44,2005-11-09,881.51,879.25,884.94,878.68,1177440500.0,5544780425.0,881.52,-2.269999999999982,-0.26,0.0,60.0,-60.0,
45,2005-11-10,878.63,862.97,878.63,862.09,1085377100.0,5071603818.0,879.25,-16.279999999999973,-1.85,0.0,55.00000000000001,-55.00000000000001,
46,2005-11-11,861.22,864.79,867.33,857.79,921972000.0,4221479222.0,862.97,1.8199999999999363,0.21,0.0,100.0,-100.0,-1.0
47,2005-11-14,864.08,862.15,864.25,858.34,627167400.0,2924317719.0,864.79,-2.6399999999999864,-0.31,25.0,95.0,-70.0,
48,2005-11-15,862.07,856.63,867.46,853.86,825247800.0,4158739868.0,862.15,-5.519999999999982,-0.64,19.999999999999996,100.0,-80.0,
49,2005-11-16,855.45,863.12,863.17,847.49,906613800.0,4185382359.0,856.63,6.490000000000009,0.76,15.000000000000002,100.0,-85.0,
50,2005-11-17,863.08,862.66,865.79,859.0,881163700.0,4120494742.0,863.12,-0.4600000000000364,-0.05,9.999999999999998,95.0,-85.0,
51,2005-11-18,862.58,882.24,886.58,862.4,1759780300.0,8353934317.0,862.66,19.58000000000004,2.27,5.000000000000004,90.0,-85.0,
52,2005-11-21,882.79,883.87,886.11,880.3,1025996300.0,4897254555.0,882.24,1.6299999999999955,0.18,0.0,85.0,-85.0,
53,2005-11-22,883.93,869.62,883.93,869.53,1059723600.0,4500600972.0,883.87,-14.25,-1.61,0.0,80.0,-80.0,
54,2005-11-23,868.0,876.23,876.82,866.19,991692000.0,3944070407.0,869.62,6.610000000000014,0.76,0.0,75.0,-75.0,
55,2005-11-24,875.83,881.49,885.75,874.88,1462900800.0,6102429919.0,876.23,5.259999999999991,0.6,80.0,70.0,10.0,1.0
56,2005-11-25,881.25,884.11,884.16,877.26,1300354600.0,5127946933.0,881.49,2.6200000000000045,0.3,75.0,65.0,10.0,
57,2005-11-28,883.24,880.17,886.74,877.64,973973500.0,4239101597.0,884.11,-3.9400000000000546,-0.45,100.0,60.0,40.0,
58,2005-11-29,879.25,871.31,879.25,870.56,841499400.0,3597357382.0,880.17,-8.860000000000014,-1.01,95.0,55.00000000000001,39.99999999999999,
59,2005-11-30,870.45,873.83,873.93,866.98,804073800.0,3676845309.0,871.31,2.5200000000000955,0.29,90.0,50.0,40.0,
60,2005-12-01,873.47,873.07,877.31,870.7,706923500.0,3355702993.0,873.83,-0.7599999999999909,-0.09,85.0,44.99999999999999,40.00000000000001,1.0
61,2005-12-02,872.93,869.94,875.83,866.37,849202100.0,3937214093.0,873.07,-3.1299999999999955,-0.36,80.0,40.0,40.0,
62,2005-12-05,869.43,859.61,869.43,858.86,1028689700.0,4606548004.0,869.94,-10.330000000000041,-1.19,75.0,35.0,40.0,
63,2005-12-06,858.11,866.08,867.19,855.72,1030351400.0,4737134619.0,859.61,6.470000000000027,0.75,70.0,30.000000000000004,40.0,
64,2005-12-07,865.72,873.84,874.0,865.02,984295500.0,4368779146.0,866.08,7.759999999999991,0.9,65.0,25.0,40.0,
65,2005-12-08,874.13,874.06,877.97,870.12,1025917400.0,5018813137.0,873.84,0.2199999999999136,0.03,60.0,19.999999999999996,40.0,
66,2005-12-09,873.69,887.36,887.57,871.26,1271952600.0,5793086795.0,874.06,13.300000000000068,1.52,100.0,15.000000000000002,85.0,1.0
67,2005-12-12,887.06,888.52,890.69,884.26,1069928000.0,5082260512.0,887.36,1.1599999999999682,0.13,100.0,9.999999999999998,90.0,
68,2005-12-13,888.0,889.1,889.22,880.74,1054723800.0,5148218278.0,888.52,0.5800000000000409,0.07,95.0,5.000000000000004,90.0,
69,2005-12-14,888.6,898.15,899.01,884.37,1386837600.0,6757243552.0,889.1,9.049999999999955,1.02,100.0,0.0,100.0,
70,2005-12-15,898.38,896.43,904.01,895.17,1625978200.0,7498123901.0,898.15,-1.7200000000000273,-0.19,100.0,65.0,35.0,
71,2005-12-16,895.83,902.56,902.75,894.1,1145210700.0,5418465602.0,896.43,6.1299999999999955,0.68,95.0,60.0,35.0,
72,2005-12-19,902.05,902.91,904.47,898.79,993632700.0,4380561278.0,902.56,0.35000000000002274,0.04,100.0,55.00000000000001,44.99999999999999,
73,2005-12-20,902.75,907.32,907.32,899.66,1029465900.0,4665761570.0,902.91,4.410000000000082,0.49,100.0,50.0,50.0,
74,2005-12-21,907.05,903.14,910.93,902.11,1027397600.0,4892864878.0,907.32,-4.180000000000064,-0.46,100.0,44.99999999999999,55.00000000000001,1.0
75,2005-12-22,902.37,908.75,909.06,900.66,894702600.0,4441384591.0,903.14,5.610000000000014,0.62,95.0,40.0,55.0,
76,2005-12-23,908.96,915.89,915.89,908.51,1190699900.0,5799046691.0,908.75,7.139999999999986,0.79,100.0,35.0,65.0,
77,2005-12-26,916.67,922.38,925.0,916.41,1534265000.0,7501782773.0,915.89,6.490000000000009,0.71,100.0,30.000000000000004,70.0,
78,2005-12-27,922.44,919.36,922.44,916.0,1205035900.0,5640640118.0,922.38,-3.019999999999982,-0.33,95.0,25.0,70.0,
79,2005-12-28,919.05,920.92,920.98,915.12,1213103200.0,5731256513.0,919.36,1.5599999999999454,0.17,90.0,19.999999999999996,70.0,
80,2005-12-29,921.14,932.03,932.03,921.14,1725495900.0,8798040548.0,920.92,11.110000000000014,1.21,100.0,15.000000000000002,85.0,
81,2005-12-30,933.45,923.45,934.0,921.83,1560025100.0,8517980122.0,932.03,-8.579999999999927,-0.92,100.0,9.999999999999998,90.0,
82,2006-01-04,926.56,941.43,941.43,926.41,2112689900.0,11442608327.0,923.45,17.979999999999905,1.95,100.0,5.000000000000004,95.0,
83,2006-01-05,943.85,959.13,959.63,942.31,2731174300.0,14693493720.0,941.43,17.700000000000045,1.88,100.0,0.0,100.0,
84,2006-01-06,961.91,970.03,975.63,956.04,3028636800.0,16170989866.0,959.13,10.899999999999977,1.14,100.0,0.0,100.0,
85,2006-01-09,971.09,975.25,976.27,966.05,2432955200.0,12626400277.0,970.03,5.220000000000027,0.54,100.0,0.0,100.0,
86,2006-01-10,975.28,978.15,978.28,964.43,2273530200.0,12344022953.0,975.25,2.8999999999999773,0.3,100.0,0.0,100.0,
87,2006-01-11,977.64,973.48,983.39,963.39,2652413800.0,13488346780.0,978.15,-4.669999999999959,-0.48,100.0,5.000000000000004,95.0,
88,2006-01-12,972.39,983.72,984.08,968.54,2189668000.0,11028175836.0,973.48,10.240000000000009,1.05,100.0,0.0,100.0,
89,2006-01-13,985.04,978.81,988.11,973.68,2228186100.0,11215633222.0,983.72,-4.910000000000082,-0.5,100.0,0.0,100.0,
90,2006-01-16,977.89,961.44,977.89,960.88,2030521500.0,9896151721.0,978.81,-17.36999999999989,-1.77,95.0,5.000000000000004,90.0,
91,2006-01-17,959.39,964.29,965.98,952.23,1603727600.0,8076118846.0,961.44,2.849999999999909,0.3,90.0,0.0,90.0,
92,2006-01-18,964.16,983.62,984.67,963.08,2082351800.0,10389841771.0,964.29,19.33000000000004,2.0,85.0,0.0,85.0,
93,2006-01-19,985.22,991.22,992.27,978.28,2645560900.0,12714862349.0,983.62,7.600000000000023,0.77,100.0,0.0,100.0,
94,2006-01-20,991.57,993.34,994.5,987.06,2614706200.0,12929890431.0,991.22,2.1200000000000045,0.21,100.0,5.000000000000004,95.0,
95,2006-01-23,993.74,996.16,997.33,989.34,2254601900.0,11459294356.0,993.34,2.8199999999999363,0.28,100.0,0.0,100.0,
96,2006-01-24,997.79,999.09,1006.15,993.39,2419799100.0,13914239772.0,996.16,2.9300000000000637,0.29,100.0,0.0,100.0,
97,2006-01-25,998.84,1009.6,1009.65,989.51,2180075800.0,11644197379.0,999.09,10.509999999999991,1.05,100.0,9.999999999999998,90.0,
98,2006-02-06,1013.42,1033.23,1033.35,1012.81,2503877100.0,13466978183.0,1009.6,23.629999999999995,2.34,100.0,5.000000000000004,95.0,
99,2006-02-07,1034.68,1029.94,1038.5,1019.94,3295478700.0,17669257813.0,1033.23,-3.2899999999999636,-0.32,100.0,0.0,100.0,
100,2006-02-08,1028.44,1033.07,1033.4,1022.94,2698672900.0,13692515175.0,1029.94,3.1299999999998818,0.3,95.0,0.0,95.0,
101,2006-02-09,1033.19,1019.6,1033.19,1017.05,2383960100.0,12115067169.0,1033.07,-13.469999999999914,-1.3,90.0,0.0,90.0,
102,2006-02-10,1019.42,1032.34,1032.6,1018.48,2202445300.0,11411753871.0,1019.6,12.739999999999895,1.25,85.0,0.0,85.0,
103,2006-02-13,1034.38,1031.61,1034.64,1021.84,2215729800.0,11454695538.0,1032.34,-0.7300000000000182,-0.07,80.0,0.0,80.0,
104,2006-02-14,1032.64,1038.53,1038.81,1030.46,1855622000.0,9730559347.0,1031.61,6.920000000000073,0.67,100.0,35.0,65.0,
105,2006-02-15,1040.33,1041.66,1048.34,1038.74,2478462800.0,12747811508.0,1038.53,3.130000000000109,0.3,100.0,30.000000000000004,70.0,
106,2006-02-16,1041.66,1020.12,1041.66,1019.21,2615989200.0,13407183725.0,1041.66,-21.540000000000077,-2.07,95.0,25.0,70.0,
